word,type,condition,experiment,grouping
inexpert,prime,prefix,one,one
inhuman,prime,prefix,one,one
injustice,prime,prefix,one,one
infirm,prime,prefix,one,one
invisible,prime,prefix,one,one
oversea,prime,prefix,one,one
discredit,prime,prefix,one,one
disprove,prime,prefix,one,one
dismantle,prime,prefix,one,one
disclaim,prime,prefix,one,one
disqualify,prime,prefix,one,one
remarry,prime,prefix,one,one
recycle,prime,prefix,one,one
retouch,prime,prefix,one,one
retrace,prime,prefix,one,one
rebuild,prime,prefix,one,one
repaint,prime,prefix,one,one
dethrone,prime,prefix,one,one
debunk,prime,prefix,one,one
misspell,prime,prefix,one,one
mislead,prime,prefix,one,one
untrue,prime,prefix,one,one
unfair,prime,prefix,one,one
uneven,prime,prefix,one,one
infertile,target,prefix,one,one
inactive,target,prefix,one,one
insane,target,prefix,one,one
insecure,target,prefix,one,one
indecent,target,prefix,one,one
overrun,target,prefix,one,one
disown,target,prefix,one,one
discomfort,target,prefix,one,one
dishonor,target,prefix,one,one
disallow,target,prefix,one,one
disconnect,target,prefix,one,one
readjust,target,prefix,one,one
rename,target,prefix,one,one
resale,target,prefix,one,one
relive,target,prefix,one,one
remodel,target,prefix,one,one
refurbish,target,prefix,one,one
defrost,target,prefix,one,one
debug,target,prefix,one,one
misfortune,target,prefix,one,one
mismatch,target,prefix,one,one
unclear,target,prefix,one,one
uncommon,target,prefix,one,one
unusual,target,prefix,one,one
disuse,prime,prefixed-stem,one,one
misprint,prime,prefixed-stem,one,one
displace,prime,prefixed-stem,one,one
rearm,prime,prefixed-stem,one,one
disorder,prime,prefixed-stem,one,one
redo,prime,prefixed-stem,one,one
restock,prime,prefixed-stem,one,one
misread,prime,prefixed-stem,one,one
dislike,prime,prefixed-stem,one,one
unburden,prime,prefixed-stem,one,one
dislocate,prime,prefixed-stem,one,one
reappear,prime,prefixed-stem,one,one
recharge,prime,prefixed-stem,one,one
unbound,prime,prefixed-stem,one,one
undue,prime,prefixed-stem,one,one
misfit,prime,prefixed-stem,one,one
unload,prime,prefixed-stem,one,one
unsettle,prime,prefixed-stem,one,one
rearrange,prime,prefixed-stem,one,one
mistrust,prime,prefixed-stem,one,one
unbelief,prime,prefixed-stem,one,one
precut,prime,prefixed-stem,one,one
recount,prime,prefixed-stem,one,one
indirect,prime,prefixed-stem,one,one
misuse,target,prefixed-stem,one,one
reprint,target,prefixed-stem,one,one
misplace,target,prefixed-stem,one,one
disarm,target,prefixed-stem,one,one
reorder,target,prefixed-stem,one,one
undo,target,prefixed-stem,one,one
overstock,target,prefixed-stem,one,one
reread,target,prefixed-stem,one,one
unlike,target,prefixed-stem,one,one
overburden,target,prefixed-stem,one,one
relocate,target,prefixed-stem,one,one
disappear,target,prefixed-stem,one,one
discharge,target,prefixed-stem,one,one
rebound,target,prefixed-stem,one,one
overdue,target,prefixed-stem,one,one
unfit,target,prefixed-stem,one,one
reload,target,prefixed-stem,one,one
resettle,target,prefixed-stem,one,one
prearrange,target,prefixed-stem,one,one
distrust,target,prefixed-stem,one,one
disbelief,target,prefixed-stem,one,one
uncut,target,prefixed-stem,one,one
miscount,target,prefixed-stem,one,one
