"word","type","condition","experiment","grouping","Length","Freq_HAL","Log_Freq_HAL","MorphSp","MorphPr","NMorph","POS"
"absence","prime","orthographic","one","two",7,7304,8.896,NA,"{""ab.s--n=s}","2","NN"
"abstract","target","orthographic","one","two",8,8606,9.06,NA,"{""ab.s--trakt}","2","JJ|NN|VB"
"abuse","target","identity","two","stem-standard",5,25915,10.163,NA,"{@.bj""uz}","1","VB"
"acclaim","target","nw-w_foil","one","one",7,889,6.79,NA,"{@.kl""em}","1","NN|VB"
"acid","prime","stem-from-affix-conds","two","stems-from-aff",4,13610,9.519,NA,"{""a.s@d}","1","NN|JJ"
"acidic","prime","suffix","one","one",6,809,6.696,NA,"{@.s""I4$}.>Ik>","2","JJ"
"active","target","stem-from-affix-conds","two","stems-from-aff",6,35565,10.479,NA,"{""akt}.>Iv>","2","JJ"
"addiction","prime","semantic","one","two",9,3437,8.142,NA,"{@.d""Ik.S$}>n=>","2","NN"
"adjust","target","stem-from-affix-conds","two","stems-from-aff",6,8566,9.056,NA,"{@.dZ""Vst}","1","VB"
"adorable","prime","suffix","one","one",8,935,6.841,NA,"{@.d""Or}.>@.bl=>","2","JJ"
"adore","prime","stem-from-affix-conds","two","stems-from-aff",5,1059,6.965,NA,"{@.d""Or}","1","VB"
"advisable","target","suffixed-stem","one","one",9,1201,7.091,NA,"{@d.v""aIz}.>@.bl=>","2","JJ"
"adviser","prime","suffixed-stem","one","one",7,1024,6.931,NA,"{@d.v""aIz}.>@`>","2","NN"
"agile","target","stem-from-affix-conds","two","stems-from-aff",5,631,6.447,NA,"{""a.dZ@l}","1","JJ|minor"
"agility","target","suffix","one","one",7,1228,7.113,NA,"{@.dZ""Il$}.>@.4i>","2","NN"
"alias","target","identity","two","stem-standard",5,22466,10.02,NA,"{""e.li@s}","1","NN|VB|JJ"
"alien","target","nw-w_foil","two","stem-standard",5,21215,9.962,NA,"{""e.li@n}","1","JJ|NN"
"alliance","target","semantic","one","two",8,9893,9.2,NA,"{@.l""aI$}>@ns>","2","NN"
"allow","target","stem-from-affix-conds","two","stems-from-aff",5,76957,11.251,NA,"{@.l""aU}","1","VB|NN"
